id,role,accuracy,precision_macro,recall_macro,macro_f1,qwk,mae,under_triage_rate,over_triage_rate
ebf1fb91109f52,cv_family_winner,0.9909954977488744,0.9904658879447572,0.9884864370691068,0.9894660436363778,0.9910765258218291,0.009004502251125562,0.004502251125562781,0.004502251125562781
bbd4c7fd65d08e,cv_family_winner,0.9854927463731866,0.9846001114786264,0.9835165656532401,0.984052572043987,0.9856367810988552,0.014507253626813406,0.0080040020010005,0.0065032516258129065
37444b1406c5fa,cv_family_winner,0.9934967483741871,0.9903626436402786,0.9949880771686788,0.9926133385357119,0.9936087393547648,0.0065032516258129065,0.0065032516258129065,0.0
ffbf7f38456e65,source_baseline,0.9859929964982491,0.9806831561132219,0.9884949123773193,0.9844261750628255,0.9863008468353811,0.014007003501750876,0.011005502751375688,0.0030015007503751876
e236b7c0c37796,source_baseline,0.991495747873937,0.9932187802023903,0.9877878675045424,0.9904334031881189,0.9915400503917547,0.008504252126063032,0.002001000500250125,0.0065032516258129065
b03e61a532691c,source_baseline,0.59879939969985,0.6409933842010858,0.5888424975517111,0.6083416342005087,0.4850619659991997,0.4302151075537769,0.17208604302151076,0.22911455727863933
a86ecc0a923d79,source_baseline,0.5992996498249125,0.6669576702442485,0.5704637324540714,0.5964517215354049,0.4671057667295335,0.41870935467733866,0.21410705352676337,0.18659329664832416
6615e66fe5ef57,source_baseline,0.984992496248124,0.9803494895310974,0.9865970109298977,0.9833674077756197,0.9852892549008834,0.015007503751875938,0.011005502751375688,0.00400200100050025
6be327aea023a6,source_baseline,0.991495747873937,0.9924128980732755,0.9877878675045424,0.9900504125988706,0.9915450682965314,0.008504252126063032,0.0030015007503751876,0.005502751375687844
selected_system,selected_on_development_only,0.9904952476238119,0.9901052631578947,0.9876069295932933,0.988840761719146,0.9905747115597697,0.009504752376188095,0.004502251125562781,0.0050025012506253125
