id,classifier,view,derived,accuracy,precision_macro,recall_macro,macro_f1,qwk,mae,under_triage_rate,over_triage_rate,macro_f1_std,seconds,parameters,exclude_cat,encoder,pca
2a938b56deac55,hgb,fused,True,0.9932512636739791,0.993067758144199,0.9915592995987691,0.9922982089650064,0.9933186418182128,0.006748736326020854,0.003374297841698288,0.0033744384843225664,0.0009417318066758086,20.3118351109988,"{""max_iter"": 250, ""max_leaf_nodes"": 15, ""l2_regularization"": 1, ""learning_rate"": 0.1, ""balance"": true}",,minilm_complaint,32.0
74be9299c8d98f,hgb,fused,True,0.9930012479688862,0.9929250360192152,0.9910851035170548,0.991988124132721,0.9930677863488762,0.006998752031113899,0.0034992353729326707,0.003499516658181228,0.0008491823560614417,9.504283824000595,"{""max_iter"": 250, ""max_leaf_nodes"": 15, ""l2_regularization"": 1, ""learning_rate"": 0.1, ""balance"": false}",,minilm_complaint,32.0
e905b91de0ec32,hgb,fused,True,0.9926261540899345,0.9922979818912282,0.9910831601540094,0.9916766155038381,0.9927025967758479,0.007373845910065606,0.0037491104354014366,0.0036247354746641682,0.0005079682677422486,27.699910226998327,"{""max_iter"": 250, ""max_leaf_nodes"": 15, ""l2_regularization"": 1, ""learning_rate"": 0.1, ""balance"": true}",,minilm_complaint,64.0
f8d183a435b5fa,hgb,fused,True,0.992750669693296,0.9927385648899673,0.9905480135789172,0.9916242064312938,0.9928141071384685,0.007249330306704059,0.003374297841698288,0.003875032465005771,0.0007884790861189463,15.811388244001137,"{""max_iter"": 250, ""max_leaf_nodes"": 15, ""l2_regularization"": 1, ""learning_rate"": 0.1, ""balance"": false}",,sapbert_concept,32.0
0f3df5b67e1cf0,hgb,fused,True,0.9926262947325587,0.9921150556792622,0.9911517589047163,0.991623650078762,0.9927034898485622,0.007373705267441326,0.003624313546791332,0.0037493917206499936,0.0014368424066841569,62.674038420002034,"{""max_iter"": 250, ""max_leaf_nodes"": 15, ""l2_regularization"": 1, ""learning_rate"": 0.1, ""balance"": true}",,sapbert_concept,64.0
8e1de632878811,hgb,fused,True,0.9925010759160756,0.9918000754111214,0.9909946960054584,0.9913828067514788,0.9925819988084035,0.0074989240839242665,0.004249141845587526,0.003249782238336742,0.0005684163739407526,97.54254359500192,"{""max_iter"": 250, ""max_leaf_nodes"": 15, ""l2_regularization"": 1, ""learning_rate"": 0.1, ""balance"": true}",,minilm_complaint,128.0
ebf1fb91109f52,hgb,fused,True,0.9925006539882029,0.9917848163336115,0.990896943620169,0.9913283963494138,0.9925789714224532,0.007499346011797103,0.004124344956977421,0.0033750010548196825,0.0005994412498457779,114.00153181999849,"{""max_iter"": 250, ""max_leaf_nodes"": 15, ""l2_regularization"": 1, ""learning_rate"": 0.1, ""balance"": true}",,sapbert_concept,128.0
a55cdf81973008,hgb,fused,True,0.9923762790274656,0.9920876596842576,0.9903799257596213,0.9912154704562663,0.9924491088960755,0.00762372097253437,0.0038739073240115405,0.0037498136485228303,0.0009309871433171326,10.993716777000373,"{""max_iter"": 250, ""max_leaf_nodes"": 15, ""l2_regularization"": 1, ""learning_rate"": 0.1, ""balance"": false}",,mpnet_concept,64.0
8515b0261c9773,hgb,fused,True,0.9923759977422172,0.9921284790323087,0.9902483899741799,0.9911675084848475,0.9924463421110467,0.007624002257782928,0.003874188609260098,0.0037498136485228303,0.0003334619954461151,18.73685468900294,"{""max_iter"": 250, ""max_leaf_nodes"": 15, ""l2_regularization"": 1, ""learning_rate"": 0.1, ""balance"": false}",,minilm_complaint,128.0
f017b88113c7c1,hgb,fused,True,0.9922510602109827,0.9916310279771196,0.9907213721150194,0.9911674845416129,0.992333713675453,0.0077489397890173105,0.00399912614049448,0.0037498136485228303,0.0003149754844386734,34.01457602299706,"{""max_iter"": 250, ""max_leaf_nodes"": 15, ""l2_regularization"": 1, ""learning_rate"": 0.1, ""balance"": true}",,sapbert_concept,32.0
2133565338a048,hgb,fused,True,0.9922509195683583,0.9920913951176565,0.9901600619391627,0.9911074884575258,0.9923228556752065,0.007749080431641592,0.003749251078025715,0.003999829353615875,9.03385682477624e-05,10.28044816700276,"{""max_iter"": 250, ""max_leaf_nodes"": 15, ""l2_regularization"": 1, ""learning_rate"": 0.1, ""balance"": false}",,minilm_complaint,64.0
