id,classifier,view,encoder,pca,derived,accuracy,precision_macro,recall_macro,macro_f1,qwk,mae,under_triage_rate,over_triage_rate,macro_f1_std,seconds,parameters,text_weight
ebf1fb91109f52,hgb,fused,sapbert_concept,128.0,True,0.9927506189495775,0.9917307822240999,0.9916997283087051,0.9916975816703971,0.9928337443795886,0.007249381050422432,0.00449906659827186,0.0027503144521505716,0.0009761521770666482,468.9779155050019,"{""max_iter"": 250, ""max_leaf_nodes"": 15, ""l2_regularization"": 1, ""learning_rate"": 0.1, ""balance"": true}",
0f3df5b67e1cf0,hgb,fused,sapbert_concept,64.0,True,0.9925006968306501,0.9915101468476847,0.9913912889767081,0.9914356036554208,0.9925860047030008,0.007499303169349758,0.00449906659827186,0.0030002365710778975,0.0011706767930979014,213.45381782900222,"{""max_iter"": 250, ""max_leaf_nodes"": 15, ""l2_regularization"": 1, ""learning_rate"": 0.1, ""balance"": true}",
a55cdf81973008,hgb,fused,mpnet_concept,64.0,True,0.9923753844280017,0.9917026700640734,0.9906801779734421,0.9911770059165186,0.9924551649366326,0.007624615571998417,0.004124768991855865,0.0034998465801425517,0.0022435568828327746,62.933187162998365,"{""max_iter"": 250, ""max_leaf_nodes"": 15, ""l2_regularization"": 1, ""learning_rate"": 0.1, ""balance"": false}",
74be9299c8d98f,hgb,fused,minilm_complaint,32.0,True,0.9923753844280017,0.9920138283868358,0.9903804396704506,0.9911694167015688,0.9924487440958035,0.007624615571998418,0.003999456589207206,0.0036251589827912107,0.0008069964410815326,23.854176417000417,"{""max_iter"": 250, ""max_leaf_nodes"": 15, ""l2_regularization"": 1, ""learning_rate"": 0.1, ""balance"": false}",
e905b91de0ec32,hgb,fused,minilm_complaint,64.0,True,0.9922503062541429,0.9910250095409937,0.9909224417223628,0.9909367428744108,0.992342647455579,0.007749693745857078,0.004499300827061859,0.003250392918795221,0.0013936383739778756,95.4502348950009,"{""max_iter"": 250, ""max_leaf_nodes"": 15, ""l2_regularization"": 1, ""learning_rate"": 0.1, ""balance"": true}",
8e1de632878811,hgb,fused,minilm_complaint,128.0,True,0.9921252280802844,0.9906600177300682,0.9910611729055612,0.9908350231418966,0.9922216654324554,0.00787477191971574,0.00487383266226785,0.0030009392574478896,0.0019230925856909382,622.1150469159984,"{""max_iter"": 250, ""max_leaf_nodes"": 15, ""l2_regularization"": 1, ""learning_rate"": 0.1, ""balance"": true}",
f8d183a435b5fa,hgb,fused,sapbert_concept,32.0,True,0.9918755401901469,0.9911693170975868,0.9901948819501054,0.990656742324773,0.9919616386505445,0.008124459809853069,0.004248910250554537,0.0038755495592985314,0.0013266464941573933,29.21907550600008,"{""max_iter"": 250, ""max_leaf_nodes"": 15, ""l2_regularization"": 1, ""learning_rate"": 0.1, ""balance"": false}",
2a938b56deac55,hgb,fused,minilm_complaint,32.0,True,0.9920006183640057,0.9907464769261056,0.9905795282125187,0.9906346296303248,0.9920979543274582,0.007999381635994406,0.004749222945989183,0.0032501586900052235,0.00198969684357167,46.9986789579998,"{""max_iter"": 250, ""max_leaf_nodes"": 15, ""l2_regularization"": 1, ""learning_rate"": 0.1, ""balance"": true}",
37444b1406c5fa,rf,fused,sapbert_concept,64.0,,0.9908763201720177,0.9860524376827099,0.993135997433904,0.989445604269729,0.9910672820939673,0.009123679827982378,0.009123679827982378,0.0,0.001978760007180056,194.31808815600016,"{""n_estimators"": 300, ""min_samples_leaf"": 3, ""max_features"": 0.7, ""balance"": true}",
38acfcd8ebda36,rf,structured,,,False,0.9903762417053731,0.9856682968403403,0.992255909425103,0.9888286133397427,0.9905712109537431,0.009623758294627026,0.009123679827982378,0.0005000784666446491,0.0016056270612017827,30.493736589000036,"{""n_estimators"": 300, ""min_samples_leaf"": 3, ""max_features"": 0.7, ""balance"": true}",
96313af0e837aa,hgb,structured,,,False,0.9887499912164204,0.9872482913122541,0.9867632226847833,0.9869926870767495,0.9888724009998981,0.011250008783579625,0.005874223824347146,0.00537578495923248,0.002325851432887654,17.253562865000276,"{""max_iter"": 300, ""max_leaf_nodes"": 7, ""l2_regularization"": 1, ""learning_rate"": 0.1, ""balance"": false}",
bbd4c7fd65d08e,logreg,fused,sapbert_concept,0.0,,0.9846273302836744,0.9844440186394688,0.9830993769869505,0.9837485151282955,0.9847877997099734,0.015372669716325513,0.007373288080331106,0.007999381635994406,0.003527140546641957,5.87726030200065,"{""C"": 1, ""balance"": false}",4.0
a3b46c2b02b32e,logreg,fused,sapbert_concept,0.0,,0.9837524857530339,0.9827771822486934,0.9831320623241571,0.982935885789382,0.9839492936532122,0.016247514246966153,0.008873289251475056,0.007374224995491096,0.003388493538311357,5.945290970001224,"{""C"": 1, ""balance"": false}",1.0
6b4606af43abd7,logreg,fused,sapbert_concept,0.0,,0.9833777196890379,0.9806621859352613,0.9843910772681042,0.9824717026420927,0.9836609974083231,0.01662228031096214,0.009873211955974357,0.006749068354987786,0.004139646240663826,4.113246503002301,"{""C"": 1, ""balance"": true}",4.0
254c1f7906c63a,logreg,fused,sapbert_concept,0.0,,0.9831270948837405,0.9799943322209943,0.9844757782283556,0.9821729270480619,0.9834281806600398,0.01687290511625946,0.010373758880199,0.00649914623606046,0.00396560379861385,4.413888078997843,"{""C"": 1, ""balance"": true}",1.0
