Word,Frequency
shdeed,1
chene,1
dab,1
cheez,1
rakh,1
di,1
badta,1
sai,1
sooi,1
chubh,1
lete,1
der,1
sakay,1
ghanto,1
tension,1
faida,1
nitroglycerin,1
sitting,1
piercing,1
li,1
bahot,1
climbing,1
stairs,1
weightlifting,1
acche,1
bahar,1
needle,1
karna,1
acchanak,1
often,1
badhti,1
rookti,1
moving,1
any,1
deeply,1
spread,1
bhoot,1
mai,1
nind,1
aai,1
chod,1
gati,1
extreme,1
yaad,1
teer,1
kaanp,1
gym,1
letnay,1
nahaate,1
meal,1
toilet,1
frequently,1
chuki,1
gurguri,1
awaz,1
sometimes,1
bhara,1
jan,1
chehra,1
walk,1
smoking,1
dabaya,1
karne,1
aane,1
bed,1
thande,1
baal,1
comb,1
at,1
marega,1
acid,1
nighttime,1
worse,1
lying,1
and,1
steps,1
many,1
times,1
