representation,classifier,input_features,accuracy,precision_macro,precision_weighted,recall_macro,f1_macro,under_triage_rate,over_triage_rate,fit_seconds,predict_seconds
full_768,LogisticRegression,768,0.5809312638580931,0.534898952046075,0.6003657121962805,0.6058279526499866,0.548471188309898,0.2106430155210643,0.20842572062084258,0.9650500749999082,0.00393502199995055
full_768,HistGradientBoosting,768,0.5742793791574279,0.5329398200365942,0.5677774371000893,0.4720400966412931,0.47975815285577955,0.16851441241685144,0.2572062084257206,57.963645251000344,0.08542548600007649
full_768,RandomForest,768,0.5565410199556541,0.5553478050142504,0.5543396232674401,0.5001405176006373,0.5108438913446822,0.18625277161862527,0.2572062084257206,24.666874071000166,0.18203462499968737
pca_64,LogisticRegression,64,0.5565410199556541,0.5068332540740567,0.577247099885755,0.574194348172414,0.5178166604295457,0.22394678492239467,0.21951219512195122,0.13936086300009265,0.0017813960002968088
pca_64,HistGradientBoosting,64,0.5698447893569845,0.513903881212819,0.5616047953735935,0.465773183096214,0.4733918147659799,0.17073170731707318,0.25942350332594233,6.9909039449999,0.05719848099988667
pca_64,RandomForest,64,0.5432372505543237,0.4785990622083337,0.5382270331169761,0.4649209118675719,0.465288287146749,0.20620842572062084,0.25055432372505543,10.110809822000192,0.1734297630000583
