representation,classifier,input_features,accuracy,precision_macro,precision_weighted,recall_macro,f1_macro,under_triage_rate,over_triage_rate,fit_seconds,predict_seconds
full_768,LogisticRegression,794,0.8248337028824834,0.7703152407639673,0.8339794617759917,0.8176296507303487,0.7867866855455461,0.11529933481152993,0.0598669623059867,1.437653570999828,0.0037775629998577642
full_768,HistGradientBoosting,794,0.8292682926829268,0.8208398309345468,0.8362053954119222,0.7417136817062042,0.7696952981747535,0.08647450110864745,0.08425720620842572,60.51451436100024,0.06953858399992896
full_768,RandomForest,794,0.7272727272727273,0.7011849501073639,0.7251822189585014,0.627821759588958,0.6436946543939734,0.10864745011086474,0.164079822616408,25.435436855999797,0.1958929709999211
pca_64,LogisticRegression,90,0.8226164079822617,0.7657609426590545,0.8328190010454791,0.8162172213518175,0.7828278729702366,0.11751662971175167,0.0598669623059867,0.41694985799995266,0.001522423000096751
pca_64,HistGradientBoosting,90,0.8070953436807096,0.815438371950722,0.8181993089789681,0.7464395833663031,0.7726855935131,0.10864745011086474,0.08425720620842572,8.424439710000115,0.06959866800025338
pca_64,RandomForest,90,0.8070953436807096,0.7913360318588556,0.8152970504802576,0.7040959792579932,0.730596544157507,0.10421286031042129,0.08869179600886919,9.856122731000141,0.1486577750001743
